dataset,batch_size,seed_size,acq_name,clf,rep,trial_idx,iter_idx,train_size,score,init,ts
agnews,500,500,random,BERT,BERT,0,5,3500,0.9140271134264648,init_random,2024-03-09 01:07:22.798918
agnews,500,500,random,BERT,BERT,0,6,4000,0.916096772678842,init_random,2024-03-09 02:00:36.799298
agnews,500,500,random,BERT,BERT,0,7,4500,0.9207473612205084,init_random,2024-03-09 02:55:14.469594
agnews,500,500,random,BERT,BERT,0,8,5000,0.9132411573211192,init_random,2024-03-09 03:47:06.517454
agnews,500,500,random,BERT,BERT,1,-1,500,0.8885279215085379,init_random,2024-03-11 12:15:24.331176
agnews,500,500,random,BERT,BERT,1,0,1000,0.8988710072953774,init_random,2024-03-11 12:29:53.078799
agnews,500,500,random,BERT,BERT,1,1,1500,0.9106165341048232,init_random,2024-03-11 12:48:29.737589
agnews,500,500,random,BERT,BERT,1,2,2000,0.9099885805321064,init_random,2024-03-11 13:11:56.097802
agnews,500,500,random,BERT,BERT,1,3,2500,0.9140952360678812,init_random,2024-03-11 13:39:12.274261
agnews,500,500,random,BERT,BERT,1,4,3000,0.9136133541000976,init_random,2024-03-11 14:10:38.589210
agnews,500,500,random,BERT,BERT,1,5,3500,0.9136694419238516,init_random,2024-03-11 14:45:52.451271
agnews,500,500,random,BERT,BERT,1,6,4000,0.9171467993970832,init_random,2024-03-11 15:25:23.547353
agnews,500,500,random,BERT,BERT,1,7,4500,0.9231119716545588,init_random,2024-03-11 16:09:36.091264
agnews,500,500,random,BERT,BERT,1,8,5000,0.91658215954981,init_random,2024-03-11 16:58:11.328869
agnews,500,500,random,BERT,BERT,2,-1,500,0.900478539161246,init_random,2024-03-12 23:23:35.908027
agnews,500,500,random,BERT,BERT,2,0,1000,0.8942826779234533,init_random,2024-03-12 23:38:53.832524
agnews,500,500,random,BERT,BERT,2,1,1500,0.906032854184018,init_random,2024-03-12 23:56:59.051121
agnews,500,500,random,BERT,BERT,2,2,2000,0.9067246849233306,init_random,2024-03-13 00:18:59.381083
agnews,500,500,random,BERT,BERT,2,3,2500,0.8997759100511853,init_random,2024-03-13 00:44:58.779235
agnews,500,500,random,BERT,BERT,2,4,3000,0.9086317327410938,init_random,2024-03-13 01:20:07.259440
agnews,500,500,random,BERT,BERT,2,5,3500,0.91596152483875,init_random,2024-03-13 02:10:41.246372
agnews,500,500,random,BERT,BERT,2,6,4000,0.9018807977753408,init_random,2024-03-13 03:05:53.317220
agnews,500,500,random,BERT,BERT,2,7,4500,0.923224665172354,init_random,2024-03-13 04:53:29.568856
agnews,500,500,random,BERT,BERT,2,8,5000,0.9018145760561048,init_random,2024-03-13 05:40:40.790250
agnews,500,500,real,BERT,BERT,0,-1,500,0.8860149142328639,init_random,2024-03-09 04:09:03.592693
agnews,500,500,real,BERT,BERT,0,0,1000,0.9116882473413548,init_random,2024-03-09 04:28:24.951518
agnews,500,500,real,BERT,BERT,0,1,1500,0.9143997217367936,init_random,2024-03-09 04:55:44.048246
agnews,500,500,real,BERT,BERT,0,2,2000,0.9202453799822568,init_random,2024-03-09 05:28:40.462673
agnews,500,500,real,BERT,BERT,0,3,2500,0.9218405594111844,init_random,2024-03-09 06:06:08.005707
agnews,500,500,real,BERT,BERT,0,4,3000,0.9284438313837096,init_random,2024-03-09 06:44:37.724054
agnews,500,500,real,BERT,BERT,0,5,3500,0.9333740472654808,init_random,2024-03-09 07:22:27.277831
agnews,500,500,real,BERT,BERT,0,6,4000,0.9359642838017468,init_random,2024-03-09 08:04:44.618872
agnews,500,500,real,BERT,BERT,0,7,4500,0.9347034218215212,init_random,2024-03-09 08:53:26.728110
agnews,500,500,real,BERT,BERT,0,8,5000,0.9326769137495085,init_random,2024-03-09 09:42:38.403981
agnews,500,500,real,BERT,BERT,1,-1,500,0.8812239355563746,init_random,2024-03-11 17:09:10.916938
agnews,500,500,real,BERT,BERT,1,0,1000,0.9120544282114224,init_random,2024-03-11 17:27:46.675432
agnews,500,500,real,BERT,BERT,1,1,1500,0.914716950652101,init_random,2024-03-11 17:50:53.858799
agnews,500,500,real,BERT,BERT,1,2,2000,0.9225381495677883,init_random,2024-03-11 18:17:46.496930
agnews,500,500,real,BERT,BERT,1,3,2500,0.9243767162884808,init_random,2024-03-11 18:47:48.977524
agnews,500,500,real,BERT,BERT,1,4,3000,0.929870225310454,init_random,2024-03-11 19:22:49.104524
agnews,500,500,real,BERT,BERT,1,5,3500,0.9296480606565536,init_random,2024-03-11 20:01:20.816755
agnews,500,500,real,BERT,BERT,1,6,4000,0.9325791132423168,init_random,2024-03-11 20:43:31.511038
