dataset,clf,rep,acq_name,iter_idx,train_size,avg_score,stdev
agnews,LinearSVC,MPNet,random,-1,200,0.8405734054589072,0.01993226198477451
agnews,LinearSVC,MPNet,random,0,400,0.8664720730236044,0.007069123801767666
agnews,LinearSVC,MPNet,random,1,600,0.8740881744204506,0.009337586973429119
agnews,LinearSVC,MPNet,random,2,800,0.8827800857058938,0.0053876398184426405
agnews,LinearSVC,MPNet,random,3,1000,0.8875186643404023,0.002634195995046301
agnews,LinearSVC,MPNet,random,4,1200,0.8880317488953225,0.0010132747008236014
agnews,LinearSVC,MPNet,random,5,1400,0.884976854710628,0.003861145723029303
agnews,LinearSVC,MPNet,random,6,1600,0.8815485202440781,0.007110558818869394
agnews,LinearSVC,MPNet,random,7,1800,0.8921612185533672,0.006428435632048039
agnews,LinearSVC,MPNet,random,8,2000,0.8918856994619806,0.0018043095276620799
agnews,LinearSVC,MPNet,random,9,2200,0.8928288631641242,0.001594949496282422
agnews,LinearSVC,MPNet,random,10,2400,0.8959711880528468,0.001757349946872845
agnews,LinearSVC,MPNet,random,11,2600,0.8960452556154402,0.002319958944723871
agnews,LinearSVC,MPNet,random,12,2800,0.8938523219326084,0.0015038134777508071
agnews,LinearSVC,MPNet,random,13,3000,0.8956618955758451,0.004318901292126406
agnews,LinearSVC,MPNet,random,14,3200,0.8978652577513738,0.0004129523430059572
agnews,LinearSVC,MPNet,random,15,3400,0.8958789366633938,0.002191337959652515
agnews,LinearSVC,MPNet,random,16,3600,0.8993781811474951,0.002118560521318044
agnews,LinearSVC,MPNet,random,17,3800,0.8975680696287145,0.0017933992132572328
agnews,LinearSVC,MPNet,random,18,4000,0.8974969738851697,0.0011841350770959843
agnews,LinearSVC,MPNet,random,19,4200,0.8996676122356333,0.0013840651602614843
agnews,LinearSVC,MPNet,random,20,4400,0.8995262433553907,0.0013161840784448357
agnews,LinearSVC,MPNet,random,21,4600,0.8994274980083564,0.002313723758991218
agnews,LinearSVC,MPNet,random,22,4800,0.8988671875152097,0.0027430119277675963
agnews,LinearSVC,MPNet,random,23,5000,0.9001911809663934,0.0005364154021842167
agnews,LinearSVC,MPNet,real,-1,200,0.8314342870936128,0.0027031461251525476
agnews,LinearSVC,MPNet,real,0,400,0.8655134536802386,0.014013695899489793
agnews,LinearSVC,MPNet,real,1,600,0.861192662871766,0.02080675534671437
agnews,LinearSVC,MPNet,real,2,800,0.8731811363146331,0.008021214857100233
agnews,LinearSVC,MPNet,real,3,1000,0.8819015343090951,0.014785077152865636
agnews,LinearSVC,MPNet,real,4,1200,0.8863835556130487,0.007517671607505003
agnews,LinearSVC,MPNet,real,5,1400,0.8859426752404481,0.004144137582579173
agnews,LinearSVC,MPNet,real,6,1600,0.8913574322496661,0.0020519702682640314
agnews,LinearSVC,MPNet,real,7,1800,0.8926551806225135,0.005639857078024931
agnews,LinearSVC,MPNet,real,8,2000,0.8950235861168624,0.005100713859036499
agnews,LinearSVC,MPNet,real,9,2200,0.898122235642551,0.0022406067287415636
agnews,LinearSVC,MPNet,real,10,2400,0.8971650864777772,0.0032083185689874712
agnews,LinearSVC,MPNet,real,11,2600,0.9008015014647812,0.0011426157838659858
agnews,LinearSVC,MPNet,real,12,2800,0.8984235310446221,0.0032574953928486
agnews,LinearSVC,MPNet,real,13,3000,0.9022139822193077,0.0014482683737381894
agnews,LinearSVC,MPNet,real,14,3200,0.8997859473780115,0.003687144738478771
agnews,LinearSVC,MPNet,real,15,3400,0.9018217905081428,0.0013233470905301792
agnews,LinearSVC,MPNet,real,16,3600,0.9025649705705656,0.0012844736212882291
agnews,LinearSVC,MPNet,real,17,3800,0.904539982525202,0.0032825868272190846
agnews,LinearSVC,MPNet,real,18,4000,0.9042533271955611,0.0005176389834367727
agnews,LinearSVC,MPNet,real,19,4200,0.9061105379326011,0.0007435969349989667
agnews,LinearSVC,MPNet,real,20,4400,0.904628647832394,0.0019500968766718372
agnews,LinearSVC,MPNet,real,21,4600,0.9054533969589801,0.001739958151371705
agnews,LinearSVC,MPNet,real,22,4800,0.9050166799060877,0.002161604563060338
agnews,LinearSVC,MPNet,real,23,5000,0.9059635120157363,0.002043210278198341
agnews,LinearSVC,USE,cal,-1,200,0.832156171241348,0.013595559260826366
agnews,LinearSVC,USE,cal,0,400,0.8472650456431361,0.012617961026568031
agnews,LinearSVC,USE,cal,1,600,0.8635471804231564,0.005735919857572247
agnews,LinearSVC,USE,cal,2,800,0.8601190538449449,0.011113613766268597
agnews,LinearSVC,USE,cal,3,1000,0.8677181615229412,0.006156043661249327
agnews,LinearSVC,USE,cal,4,1200,0.8740108526220899,0.002317887771635763
agnews,LinearSVC,USE,cal,5,1400,0.8727757491277321,0.00577882790782213
agnews,LinearSVC,USE,cal,6,1600,0.8797921499516629,0.00286324314693749
agnews,LinearSVC,USE,cal,7,1800,0.8783339732986954,0.0047098238828613415
agnews,LinearSVC,USE,cal,8,2000,0.8807859092010034,0.0028759938535205536
agnews,LinearSVC,USE,cal,9,2200,0.8808842284347959,0.00042840531484497813
agnews,LinearSVC,USE,cal,10,2400,0.8824833741285505,0.0020577011697920727
agnews,LinearSVC,USE,cal,11,2600,0.8821351844879439,0.0009117137007310773
agnews,LinearSVC,USE,cal,12,2800,0.8798726171668142,0.000832941192044752
agnews,LinearSVC,USE,cal,13,3000,0.8838302448626049,0.002136578489201438
agnews,LinearSVC,USE,cal,14,3200,0.8829240212812216,0.0052137006006356176
agnews,LinearSVC,USE,cal,15,3400,0.8824240303341829,0.0031000786171622935
agnews,LinearSVC,USE,cal,16,3600,0.8853943300888617,0.0020440493799009844
agnews,LinearSVC,USE,cal,17,3800,0.8852217952134426,0.0012897174605303555
agnews,LinearSVC,USE,cal,18,4000,0.882941313899528,0.006117581045100616
agnews,LinearSVC,USE,cal,19,4200,0.8878063178729265,0.003929720635981492
agnews,LinearSVC,USE,cal,20,4400,0.8865124506169618,0.0013656511492134847
agnews,LinearSVC,USE,cal,21,4600,0.8859334250474031,0.0011803237925987625
agnews,LinearSVC,USE,cal,22,4800,0.885400670930124,0.0036504908763958484
agnews,LinearSVC,USE,cal,23,5000,0.8879774876600299,0.0018364602377505146
agnews,LinearSVC,USE,dal,-1,200,0.832156171241348,0.013595559260826366
agnews,LinearSVC,USE,dal,0,400,0.8446930891337671,0.032812055869297654
agnews,LinearSVC,USE,dal,1,600,0.8591517784653395,0.006390417199579899
agnews,LinearSVC,USE,dal,2,800,0.8656964076210433,0.0042633282316955215
agnews,LinearSVC,USE,dal,3,1000,0.8720954817867547,0.002496638812650467
agnews,LinearSVC,USE,dal,4,1200,0.8757971155685284,0.002773426006447268
agnews,LinearSVC,USE,dal,5,1400,0.8772955232905121,0.0009448056744733349
agnews,LinearSVC,USE,dal,6,1600,0.8774357150331076,0.0021638209730185255
agnews,LinearSVC,USE,dal,7,1800,0.8776966743331366,0.0056668391393263785
agnews,LinearSVC,USE,dal,8,2000,0.8797289916685774,0.002401199490042361
agnews,LinearSVC,USE,dal,9,2200,0.8751685189087187,0.005195963216468728
agnews,LinearSVC,USE,dal,10,2400,0.8779023846464012,0.0019881308131645147
agnews,LinearSVC,USE,dal,11,2600,0.8787932644769407,0.0029565831205282
agnews,LinearSVC,USE,dal,12,2800,0.88210893112704,0.0017443613711837641
agnews,LinearSVC,USE,dal,13,3000,0.8782319407049609,0.0017630541552776566
agnews,LinearSVC,USE,dal,14,3200,0.8807318223936781,0.0037075801926761084
agnews,LinearSVC,USE,dal,15,3400,0.881905217359277,0.0026152111111769957
agnews,LinearSVC,USE,dal,16,3600,0.8843965999843434,0.0027098767894959417
agnews,LinearSVC,USE,dal,17,3800,0.8834238985387026,0.0013608136340409565
agnews,LinearSVC,USE,dal,18,4000,0.8835172403944873,0.0022883590258273583
agnews,LinearSVC,USE,dal,19,4200,0.8849643572122501,0.0014657962695927874
agnews,LinearSVC,USE,dal,20,4400,0.8827536140393569,0.002028721092935955
agnews,LinearSVC,USE,dal,21,4600,0.8845189291125192,0.0015415590880983848
agnews,LinearSVC,USE,dal,22,4800,0.8856623740590543,0.0026991513817817866
agnews,LinearSVC,USE,dal,23,5000,0.8861964493322324,0.002840554745798997
agnews,LinearSVC,USE,margin,-1,200,0.832156171241348,0.013595559260826366
agnews,LinearSVC,USE,margin,0,400,0.8595137805967581,0.005367484124122788
agnews,LinearSVC,USE,margin,1,600,0.8644542198662816,0.01037120333837572
agnews,LinearSVC,USE,margin,2,800,0.8657979195613527,0.009567970284894648
agnews,LinearSVC,USE,margin,3,1000,0.8643540993483526,0.015746735607225323
agnews,LinearSVC,USE,margin,4,1200,0.8780511636538254,0.001108028928946338
agnews,LinearSVC,USE,margin,5,1400,0.8761245026494274,0.006975702261715912
agnews,LinearSVC,USE,margin,6,1600,0.8762788640732843,0.0022203413547347644
agnews,LinearSVC,USE,margin,7,1800,0.8769892914739493,0.0048873868600001775
agnews,LinearSVC,USE,margin,8,2000,0.8752808081220248,0.006850986551727899
agnews,LinearSVC,USE,margin,9,2200,0.8789617206224807,0.01053420718478905
agnews,LinearSVC,USE,margin,10,2400,0.8866981931883958,0.00316011859604658
agnews,LinearSVC,USE,margin,11,2600,0.8867350882158068,0.00102962182819266
agnews,LinearSVC,USE,margin,12,2800,0.8855630954588826,0.0016764570483083876
agnews,LinearSVC,USE,margin,13,3000,0.8805925512907997,0.006589640417110199
agnews,LinearSVC,USE,margin,14,3200,0.886876214832745,0.0019308621301295224
agnews,LinearSVC,USE,margin,15,3400,0.8892879811801805,0.0014301676973275928
agnews,LinearSVC,USE,margin,16,3600,0.887673220141011,0.0021125348692717263
agnews,LinearSVC,USE,margin,17,3800,0.888822475696465,0.0011187969042049794
agnews,LinearSVC,USE,margin,18,4000,0.8880504931342329,0.001617958612494229
agnews,LinearSVC,USE,margin,19,4200,0.8895477825113595,0.0020054160284390674
agnews,LinearSVC,USE,margin,20,4400,0.8888530062822951,0.0025516531346967417
agnews,LinearSVC,USE,margin,21,4600,0.8880140188559524,0.002284616571796381
agnews,LinearSVC,USE,margin,22,4800,0.8897133851462677,0.0025447782154477128
agnews,LinearSVC,USE,margin,23,5000,0.8912377853584789,0.004020210261482854
agnews,LinearSVC,USE,random,-1,200,0.8431248812965707,0.017326524095436405
agnews,LinearSVC,USE,random,0,400,0.8572061082867326,0.007299352890262348
agnews,LinearSVC,USE,random,1,600,0.8587812797399188,0.018757784777635064
agnews,LinearSVC,USE,random,2,800,0.868290832892952,0.007852877473873792
agnews,LinearSVC,USE,random,3,1000,0.8763604003636213,0.0037682205456196272
agnews,LinearSVC,USE,random,4,1200,0.8663747642180608,0.0050166264015452594
agnews,LinearSVC,USE,random,5,1400,0.8789234294485969,0.005768706936130894
agnews,LinearSVC,USE,random,6,1600,0.8807625456120473,0.001921144017812564
agnews,LinearSVC,USE,random,7,1800,0.8786432590468668,0.004945457641961147
agnews,LinearSVC,USE,random,8,2000,0.8759285223913192,0.004184206598942577
agnews,LinearSVC,USE,random,9,2200,0.8813788811028482,0.005102536761192666
agnews,LinearSVC,USE,random,10,2400,0.8808374339521579,0.005502758104726491
agnews,LinearSVC,USE,random,11,2600,0.8798389357141793,0.006427666029712248
agnews,LinearSVC,USE,random,12,2800,0.8795487703516999,0.002701793745361668
agnews,LinearSVC,USE,random,13,3000,0.8841856660154189,0.003865656899739116
agnews,LinearSVC,USE,random,14,3200,0.8831490129220763,0.005650137722189686
agnews,LinearSVC,USE,random,15,3400,0.8842524308527254,0.0031557468337770856
agnews,LinearSVC,USE,random,16,3600,0.8878937855343505,0.000943310620161201
agnews,LinearSVC,USE,random,17,3800,0.8842436376237833,0.004443996683034123
agnews,LinearSVC,USE,random,18,4000,0.8864837804164343,0.0008950365038683891
agnews,LinearSVC,USE,random,19,4200,0.8872249902015037,0.0017568055930837236
agnews,LinearSVC,USE,random,20,4400,0.8880332744786011,0.0006159376088900054
